City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,st. john's,47.5649,-52.7093,268.59,82,100,7.6,CA,1706672417
84,monrovia,6.3005,-10.7969,299.9,83,62,2.08,LR,1706672417
85,christchurch,-43.5333,172.6333,294.79,61,3,10.8,NZ,1706672327
86,glace bay,46.1969,-59.957,268.03,76,40,3.6,CA,1706672417
87,yaren,-0.5472,166.916,301.99,73,100,4.13,NR,1706672418
88,vorkuta,67.5,64.0,260.0,95,100,4.16,RU,1706672418
89,tvoroyri,61.5556,-6.8111,281.13,90,100,22.57,FO,1706672418
90,ulladulla,-35.35,150.4667,296.35,89,100,4.31,AU,1706672418
91,bojia,26.4672,111.9681,288.68,86,96,1.26,CN,1706672419
92,isafjordur,66.0755,-23.124,267.52,74,62,3.01,IS,1706672419
93,orumiyeh,37.5527,45.0761,270.9,93,100,2.06,IR,1706672275
94,ta`u,-14.2336,-169.5144,302.36,71,78,2.96,AS,1706672142
95,okola,4.0167,11.3833,294.82,89,99,0.81,CM,1706672419
96,nargund,15.7167,75.3833,297.87,35,77,1.63,IN,1706672419
97,constantia,44.1833,28.65,269.65,77,26,2.83,RO,1706672420
98,kabalo,-6.05,26.9167,293.84,96,100,0.83,CD,1706672420
99,georgetown,5.4112,100.3354,305.9,64,20,3.09,MY,1706672420
100,kapa'a,22.0752,-159.319,297.33,75,75,2.06,US,1706672420
101,lihue,21.9789,-159.3672,296.92,76,75,2.06,US,1706672361
102,greenland,43.0362,-70.8328,269.88,83,100,0.0,US,1706672421
103,iqaluit,63.7506,-68.5145,249.09,63,75,5.66,CA,1706672421
104,margaret river,-33.95,115.0667,300.97,53,0,5.57,AU,1706672421
105,vanino,49.0869,140.2543,258.11,58,73,1.45,RU,1706672421
106,prince george,53.9166,-122.753,272.73,89,0,0.0,CA,1706672422
107,akureyri,65.6835,-18.0878,269.11,86,0,4.63,IS,1706672122
108,sambava,-14.2667,50.1667,298.1,87,94,2.06,MG,1706672142
109,parabel',58.6978,81.4825,260.48,93,100,4.39,RU,1706672422
110,shalkar,47.8288,59.6258,266.99,95,100,6.86,KZ,1706672422
111,bodo,67.28,14.405,274.79,96,100,5.14,NO,1706672423
112,enewetak,11.3474,162.3373,299.73,71,80,9.2,MH,1706672423
113,weno,7.4515,151.8468,303.12,66,100,5.14,FM,1706672364
114,hrodna,53.6884,23.8258,273.07,80,100,4.0,BY,1706672421
115,jamestown,42.097,-79.2353,274.92,91,100,2.57,US,1706672298
116,hilo,19.7297,-155.09,300.0,78,100,3.09,US,1706672424
117,kununurra,-15.7667,128.7333,305.14,66,18,2.57,AU,1706672424
118,aswan,24.0934,32.907,281.82,46,0,3.67,EG,1706672424
